公司名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人数,公司类型,所属行业,曾用名,注册地址,最新年报地址,网址,电话,其他电话,邮箱,其他邮箱
浙江华友钴业股份有限公司,存续,陈雪华,159813.3418万人民币,122122.8483万人民币,2002-05-22,2022-09-16,2002-05-22 至 9999-12-31,浙江省,嘉兴市,桐乡市,913300007368873961,913300007368873961,330400400004910,73688739-6,1483,股份有限公司(中外合资、上市),有色金属冶炼和压延加工业,"浙江华友钴镍材料有限公司	",浙江省桐乡经济开发区二期梧振东路18号,浙江省桐乡经济开发区二期梧振东路18号,http://www.huayou.com/,0573-88587878,0573-88587878;0573-88589968;0573-88586238;0573-88589981,jyp@huayou.com,jyp@huyaou.com
江苏今世缘酒业股份有限公司,存续,顾祥悦,125450万人民币,45000万人民币,1997-12-23,2022-04-30,1997-12-23  至 无固定期限,江苏省,淮安市,涟水县,91320800139859741X,91320800139859741X,320826000001107,13985974-1,3733,股份有限公司(上市、国有控股),酒、饮料和精制茶制造业,"江苏今世缘酒业有限公司	",涟水县高沟镇今世缘大道1号,涟水县高沟镇今世缘大道1号,http://www.jinshiyuan.com.cn,0517-82426096,0517-82426096;0517-82426099;0517-82433359;0517-80895528;0517-82433619,64694584@qq.com,82426099@163.com;2426099@163.com
云南云天化股份有限公司,存续,段文瀚,183589.3241万人民币,112907.8166万人民币,1997-07-02,2022-08-01,2000-11-28  至 无固定期限,云南省,昆明市,西山区,915300002919937260,915300002919937260,530000000004657,29199372-6,550,股份有限公司(中外合资、上市),化学原料和化学制品制造业,-,云南省昆明市西山区滇池路1417号,云南省昆明市滇池路1417号,http://www.yyth.com.cn,0871-64327130,0871-64327130;0871-64327135;0871-66242239;13578013828;0871-8311998;0870-8662104,louwei@yth.cn,quxiaoxue@yth.cn;zqb@yth.cn;caozaikun@yth.cn
捷普科技（成都）有限公司,存续,Timothy Wayne Traud,21000万美元,21000万美元,2012-09-05,2021-10-22,2012-09-05 至 2052-09-04,四川省,成都市,崇州市,91510100052516850P,91510100052516850P,510100400045688,05251685-0,25073,有限责任公司(外国法人独资),计算机、通信和其他电子设备制造业,-,四川省成都市崇州市经济开发区创新路三段一号,四川省成都市崇州市创新路三段一号,http://www.jgpctu.com,028-62992316,028-62992316;028-62992217;028-62991708;028-62992240;028-62976933,pan_zheng@jabil.com,sherry_li@jabil.com;wendy_he5@jabil.com;jiawei_yang@jabil.com;carrie_zheng7@jabil.com;yan_li5@jabil.com
达利食品集团有限公司,存续,许世辉,145000万人民币,145000万人民币,1993-02-10,2021-03-30,1993-02-10 至 2023-02-09,福建省,泉州市,惠安县,91350000611541826X,91350000611541826X,350500400031738,61154182-6,1816,有限责任公司(港澳台法人独资),造纸和纸制品业,"福建惠安大发纸品厂有限公司	;	惠安达利包装有限公司	",惠安县紫山镇林口,福建省惠安县紫山镇林口,http://www.dali-group.com,0595-87310881,0595-87310881;0959-87310881;0595-87330853,ir@daligroup.com,zhengpengkang@daligroup.com;jituanban@daligroup.com;dljtbgs@163.com
江西赣锋锂业集团股份有限公司,存续,李良彬,143747.888万人民币,-,2000-03-02,2022-09-30,2007-06-18 至 2027-06-17,江西省,新余市,-,91360500716575125F,91360500716575125F,360500110000305,71657512-5,790,其他股份有限公司(上市),化学原料和化学制品制造业,江西赣锋锂业股份有限公司,江西省新余经济开发区龙腾路,江西省新余经济开发区龙腾路,http://www.ganfenglithium.com,0790-6860528,0790-6860528,271023846@qq.com,info@ganfenglithium.com
山东临工工程机械有限公司,开业,王志中,153593万人民币,153593万人民币,2003-12-25,2020-01-06,2003-12-26 至 2056-12-30,山东省,临沂市,-,91371300757484684H,91371300757484684H,370000400003573,757484684,3174,有限责任公司(中外合作),专用设备制造业,-,临沂经济开发区北横路205国道东侧,临沂经济开发区北横路205国道东侧,http://www.sdlg.cn/,0539-8785678,0539-8785678;0539-23456789,sdlg@sdlg.com.cn,-
维信诺科技股份有限公司,存续,张德强,136766.3046万人民币,10000万人民币,1998-01-07,2021-05-24,1998-01-07  至 无固定期限,江苏省,苏州市,昆山市,914405007254810917,914405007254810917,-,72548109-1,7,股份有限公司(上市、自然人投资或控股),计算机、通信和其他电子设备制造业,"黑牛食品股份有限公司	",昆山开发区夏东街658号1801室,昆山开发区夏东街658号1801室,http://www.visionox.com/,0316-5926622,0316-5926622;0316-5927844;0316-5927460;15801500299;0754-88108997,guoyq@visionox.com,gaoyuan@visionox.com;wangjing01@visionox.com
海信家电集团股份有限公司,开业,代慧忠,136272.537万人民币,136272.537万人民币,1997-04-21,2021-12-01,1997-04-21  至 无固定期限,广东省,佛山市,顺德区,91440000190343548J,91440000190343548J,440000400014751,190343548,820,股份有限公司(台港澳与境内合资、上市),电气机械和器材制造业,"广东科龙电器股份有限公司	;	海信科龙电器股份有限公司	",广东省佛山市顺德区容桂街道容港路8号,广东省佛山市顺德区容桂街道容港路8号,http://hxjd.hisense.cn,0757-28362570,0757-28362570;0757-28362832,hxjdzqb@hisense.com,kelonsec@hisense.com
新疆天山水泥股份有限公司,存续,肖家祥,866342.2814万人民币,732228.39万人民币,1998-11-18,2022-05-11,1998-11-18  至 无固定期限,新疆维吾尔自治区,乌鲁木齐市,达坂城区,91650000710886440T,91650000710886440T,650000040000466,71088644-0,451,其他股份有限公司(上市),非金属矿物制品业,-,新疆乌鲁木齐市达坂城区白杨沟村,上海市浦东新区世博馆70号,http://www.sinoma-tianshan.cn,021-68989000,021-68989000;0991-6686781;0991-3665590,xts@cnbm-s.com.cn,tianyuhanxiao@126.com;tianshangufen@sinoma-tianshan.cn
新纶新材料股份有限公司,存续,廖垚,115221.4592万人民币,115221.4592万人民币,2002-12-25,2022-07-28,2002-12-25 至 5000-01-01,广东省,深圳市,福田区,914403007451834971,914403007451834971,440301102886961,74518349-7,336,股份有限公司(上市),非金属矿物制品业,"深圳市新纶科技有限公司	;	深圳市新纶科技股份有限公司	",广东省深圳市福田区福田街道圩镇社区福田路24号海岸环庆大厦32层,深圳市福田区福田街道圩镇社区福田路24号海岸环庆大厦32层,www.xinlun.com.cn,0755-26993699,0755-26993699,xzglzx@xinlun.com.cn,-
北京东方国信科技股份有限公司,存续,管连平,115238.1437万人民币,30812.7217万人民币,1997-07-28,2021-08-24,2008-06-30  至 无固定期限,北京市,北京市,朝阳区,91110000633027609B,91110000633027609B,110105002496292,63302760-9,2778,股份有限公司(上市、自然人投资或控股),计算机、通信和其他电子设备制造业,-,北京市朝阳区创达三路1号院1号楼7层101,北京市朝阳区创达三路1号院1号楼 101,http://www.bonc.com.cn,010-84866666,010-84866666;010-64398920;010-64392089,investor@bonc.com.cn,-
浙江万马股份有限公司,存续,孟宪洪,103548.9098万人民币,-,1996-12-30,2020-12-31,1996-12-30  至 无固定期限,浙江省,杭州市,临安区,913300007043088475,913300007043088475,330000000002087,70430884-7,1543,其他股份有限公司(上市),电气机械和器材制造业,"浙江万马电缆股份有限公司	",浙江省杭州市临安区青山湖街道鹤亭街896号,浙江省杭州市临安区青山湖街道鹤亭街896号,-,18768428288,18768428288,565791929@qq.com,-
深圳拓邦股份有限公司,存续,武永强,113521.6809万人民币,113521.6809万人民币,1996-02-09,2021-04-22,1996-02-09  至 无固定期限,广东省,深圳市,南山区,91440300192413773Q,91440300192413773Q,440301102762366,19241377-3,1656,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市拓邦电子设备有限公司	;	深圳市拓邦电子科技有限公司	;	深圳市拓邦电子科技股份有限公司	",深圳市南山区粤海街道高新技术产业园清华大学研究院B区413房,深圳市宝安区石岩街道塘头大道梨园工业区拓邦工业园,http://www.topband.com.cn,0755-27651888,0755-27651888;13590378905;13570843955;13798462060,gaoyj@topband.com.cn,63241101@qq.com;1807472545@qq.com;qxj@topband.com.cn;zhanghj@topband.com.cn
奥的斯电梯（中国）有限公司,存续,陈慷,100000万人民币,54243.1512万人民币,2005-12-14,2022-05-31,2005-12-14 至 2055-12-13,天津市,天津市,-,911201167803498783,911201167803498783,120000400078397,78034987-8,4606,有限责任公司(中外合资),专用设备制造业,"天津奥的斯电梯有限公司	",天津经济技术开发区第九大街71号,天津市河西区解放南路443号,otisoess.com,400-818-5588,400-818-5588;022-28101000;022-28101188,otisline.china@otis.com,chenchen.hou@otis.com;guowen.yan@otis.com
深圳市沃特玛电池有限公司,存续,李瑶,133691.304781万人民币,130294.74万人民币,2002-04-30,2017-07-07,2002-04-30 至 5000-01-01,广东省,深圳市,龙岗区,91440300736297302X,91440300736297302X,440307102716169,73629730-2,451,有限责任公司（法人独资）,电气机械和器材制造业,"深圳市乐凯电池有限公司	",广东省深圳市坪山区坪山新区坪山竹坑社区工业区3、4栋；在坪山新区兰景北路68号设有经营场所从事生产经营活动,深圳市坪山新区坪山竹坑社区工业区3、4栋；在深圳市坪山新区兰景北路68号设有经营场所从事生产经营活动,www.optimumnanoenergy.com,15502046188,15502046188,info@ljyenergy.com,-
青岛海信日立空调系统有限公司,开业,秋山胜司,15000万美元,15000万美元,2003-01-08,2022-08-15,2003-01-08 至 2053-01-08,山东省,青岛市,黄岛区,913702117439759413,913702117439759413,370200400104880,74397594-1,2464,有限责任公司(中外合资),通用设备制造业,-,青岛经济技术开发区前湾港路218号,青岛经济技术开发区前湾港路218号,www.hisensehitachi.com,0532-80875517,0532-80875517;0532-80875997,yuhua1@hisensehitachi.com,baoyihh@hisensehitachi.com
广东奥马电器股份有限公司,开业,胡殿谦,108411.1428万人民币,105041.43万人民币,2002-11-01,2021-05-13,2002-11-01  至 无固定期限,广东省,中山市,-,91440000743693119N,91440000743693119N,442000400012751,74369311-9,15,其他股份有限公司(上市),电气机械和器材制造业,-,广东省中山市中山市南头镇东福北路54号,广东省中山市南头镇东福北路54号,www.homa.cn,18782264725,18782264725,homa@aomachina.com,-
深圳市长盈精密技术股份有限公司,存续,陈奇星,120102.7716万人民币,100085.643万人民币,2001-07-17,2022-05-26,2001-07-17 至 5000-01-01,广东省,深圳市,宝安区,9144030072988519X9,9144030072988519X9,440306102981504,72988519-X,6027,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市长盈精密技术有限公司	;	深圳市富瑞康精密五金有限公司	;	深圳市富瑞康连接技术有限公司	",深圳市宝安区福永镇桥头富桥工业3区3号厂,深圳市宝安区福永镇桥头富桥工业3区3号厂,http://www.ewpt.com/,0755-27343066,0755-27343066;0755-27343858;0755-27347334;0755-27343880,ir@ewpt.com,ir@ewpt.cn;zongjb@ewpt.com
敬业钢铁有限公司,存续,余慧,100000万人民币,10000万人民币,2002-01-05,2022-04-26,2002-01-05 至 2052-01-04,河北省,石家庄市,平山县,911301317343451044,911301317343451044,130131000001305,734345104,9391,其他有限责任公司,黑色金属冶炼和压延加工业,"河北钢铁集团敬业钢铁有限公司	;	河北敬业钢铁有限公司	",平山县南甸镇,河北省平山县南甸镇,http://www.hbjyjt.com,0311-82888888,0311-82888888;0311-82878888;0311-8288888;0311-82872215;0311-68030652;18332114619;13383610182;15028165181;18931895365;13383611308,jingye@hbjyjt.com,-
新大陆数字技术股份有限公司,存续,王晶,103206.2937万人民币,103206.2937万人民币,1999-06-28,2021-06-25,1999-06-28 至 2049-06-28,福建省,福州市,马尾区,91350000154586155B,91350000154586155B,350000100017027,15458615-5,441,股份有限公司(上市、自然人投资或控股),计算机、通信和其他电子设备制造业,"福建新大陆电脑股份有限公司	",福州市马尾区儒江西路1号,福建省福州市马尾区儒江西路1号,www.newlandcxfzzx.com,0591-83979333,0591-83979333;0591-83979819,linyongc@newlandcomputer.com,-
神州数码信息服务股份有限公司,存续,郭为,98365.3713万人民币,97576.8827万人民币,1996-11-18,2022-07-06,1996-11-18 至 5000-01-01,广东省,深圳市,南山区,91440300726198124D,91440300726198124D,440301103593790,72619812-4,65,股份有限公司(中外合资、上市),计算机、通信和其他电子设备制造业,"深圳市太光电信股份有限公司	",深圳市南山区科发路8号金融服务技术创新基地2栋11B1单元,深圳市南山区科发路8号金融服务技术创新基地2栋11B1单元,-,0755-84370710,0755-84370710;0755-84370701;0755-82910290;0755-82858630;010-61853676,ir@dcits.com,tianyuanf@dcits.com;liwxi@dcits.com
杭州老板电器股份有限公司,存续,任建华,94902.405万人民币,-,2000-11-07,2022-04-26,2000-11-07 至 2050-11-06,浙江省,杭州市,余杭区,91330000725252053F,91330000725252053F,330184000022577,72525205-3,2877,其他股份有限公司(上市),电气机械和器材制造业,"杭州老板家电厨卫有限公司	",浙江省杭州余杭区余杭经济开发区临平大道592号,浙江省杭州余杭区余杭经济开发区临平大道592号,95105855.com.cn,0571-86281535,0571-86281535;0571-86281888;0571-86187810;15851818980,yuc@robam.com,gaobin@robam.com;robam@robam.com
四川剑南春（集团）有限责任公司,存续,乔愚,80834万人民币,78041.03万人民币,1996-09-17,2022-04-24,1996-09-17  至 无固定期限,四川省,德阳市,绵竹市,915106837175377539,915106837175377539,510683000001409,71753775-3,1055,有限责任公司(自然人投资或控股),通用设备制造业,-,绵竹市春溢街,绵竹市春溢街289号,http://www.jnc.cn,0838-6202206,0838-6202206;0838-6202206-3591;021-65123358,jnc@jnc.com.cn,jncxym@163.com
深圳市信维通信股份有限公司,存续,彭浩,96756.8638万人民币,96756.8638万人民币,2006-04-27,2021-06-15,2006-04-27 至 5000-01-01,广东省,深圳市,宝安区,914403007883357614,914403007883357614,440306102790994,78833576-1,3852,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市信维通信有限公司	",深圳市宝安区沙井街道西环路1013号A.B栋,深圳市宝安区沙井街道西环路1013号A.B栋,http://www.sz-sunway.com.cn,0755-81773388,0755-81773388;0755-36869688;13924665217,yueming.liao@sz-sunway.com,maggie.feng@sz-sunway.com;sunway@sz-sunway.com
华润三九医药股份有限公司,存续,赵炳祥,98714万人民币,62307.2862万人民币,1999-04-21,2022-07-27,1999-04-21 至 5000-01-01,广东省,深圳市,龙华区,914403007109245909,914403007109245909,440301103302647,71092459-0,1250,股份有限公司(上市),化学原料和化学制品制造业,"三九医药股份有限公司	",深圳市龙华区观湖街道观澜高新园区观清路1号,深圳市龙华区观湖街道观澜高新园区观清路1号,https://www.999.com.cn,13751146932,13751146932;0755-83360999,wuhonghong6@999.com.cn,000999@999.com.cn
东方日升新能源股份有限公司,存续,林海峰,89187.4906万人民币,56000万人民币,2002-12-02,2022-09-29,2009-05-26 至 2059-05-25,浙江省,宁波市,宁海县,913302001449739014,913302001449739014,330226000001791,14497390-1,872,其他股份有限公司(上市),电气机械和器材制造业,"宁海县日升电器有限公司	;	宁海县日升橡塑厂	",浙江省宁海县梅林街道塔山工业园区,浙江省宁海县梅林街道塔山工业园区,http://www.risenenergy.com,0574-59953176,0574-59953176;0574-65173983;0574-65295568;15990566455,houyj@risenenergy.com,xuesx@risenenergy.com
广东志高空调有限公司,开业,李兴浩,99614万人民币,99614万人民币,1997-06-16,2021-02-01,1997-06-16 至 2056-08-31,广东省,佛山市,南海区,914406052318367964,914406052318367964,440682400003374,23183679-6,1005,有限责任公司(外国法人独资),电气机械和器材制造业,"广东志高空调股份有限公司	",佛山市南海区里水镇胜利工业区,佛山市南海区里水镇胜利工业区,icongo.cn,0757-85660491,0757-85660491,sale@china-chigo.com,-
深圳市裕同包装科技股份有限公司,存续,王华君,93051.3553万人民币,87709.8616万人民币,2002-01-15,2022-07-22,2002-01-15 至 5000-01-01,广东省,深圳市,宝安区,914403007341708695,914403007341708695,440301103101031,73417086-9,4149,其他股份有限公司(上市),造纸和纸制品业,"深圳市裕同包装设计有限公司	;	深圳市裕同包装纸品有限公司	;	深圳市裕同印刷包装有限公司	;	深圳市裕同印刷股份有限公司	",深圳市宝安区石岩街道石龙社区石环路1号办公楼三层、厂房D一层、厂房E一层,深圳市宝安区石岩街道石龙社区石环路1号办公楼三层,http://www.szyuto.com,0755-33873999,0755-33873999;0755-33896999;13725510592,huangcy@szyuto.com,sheng.shu@szyuto.com
宁德新能源科技有限公司,存续,左允文,13000万美元,13000万美元,2008-03-14,2020-07-14,2008-03-14 至 2058-03-13,福建省,宁德市,蕉城区,91350902671920959B,91350902671920959B,350900400000633,67192095-9,27157,有限责任公司(港澳台法人独资),电气机械和器材制造业,-,宁德市蕉城区漳湾镇新港路1号,福建省宁德市蕉城区漳湾镇新港路1号,https://www.atlbattery.com/,0593-2582114,0593-2582114;0593-2576679;0593-2582694;0593-2583280,nd-reception@atlbattery.com,nd-receptiong@atlbattery.com;wangxiaomei@atlbattery.com;huangaq@atlbattery.com;zengqq@atlbattery.com;zengqq@atlbattery.local
江苏中利集团股份有限公司,存续,王伟峰,87178.7068万人民币,13350万人民币,1988-09-05,2022-08-30,1988-09-05  至 无固定期限,江苏省,苏州市,常熟市,913205007317618904,913205007317618904,320500000045339,731761890,563,股份有限公司(上市、自然人投资或控股),电气机械和器材制造业,"常熟市中利电缆有限责任公司	;	中利科技集团有限公司	;	江苏中利光电集团有限公司	;	中利科技集团股份有限公司	;	常熟市唐市电线厂	;	江苏中利电缆有限责任公司	",江苏省常熟东南经济开发区,江苏省常熟市东南经济技术开发区,http://www.zhongli.com,0512-52571188,0512-52571188,lujianhao@zhongli.com,xulijia@zhongli.com
泉芯集成电路制造（济南）有限公司,在业,杨永波,595000万,323694.6万,2019-01-29,2022-06-16,2019-01-29  至 无固定期限,山东省,济南市,济南高新技术产业开发区,91370100MA3P43E719,91370100MA3P43E719,370127200367037,MA3P43E71,281,其他有限责任公司,计算机、通信和其他电子设备制造业,-,山东省济南市高新区机场路7617号411-2-9室,山东省济南市高新区机场路7617号411-2-9室,www.qxic.net,15806607225,15806607225;0531-59681777,27303438@qq.com,tommery.xing@qxic.net
中国北京同仁堂（集团）有限责任公司,存续,王贵平,65527万人民币,40044万人民币,1992-08-17,2022-10-09,2001-07-06 至 2051-07-05,北京市,北京市,东城区,91110000101461180X,91110000101461180X,110000005005493,10146118-0,149,有限责任公司(国有独资),医药制造业,-,北京市东城区东兴隆街52号,北京市东城区东兴隆街52号,https://www.tongrentang.com,010-67171762,010-67171762;67621166,jtjlb@tongrentang.com,-
澳柯玛股份有限公司,开业,张斌,79816.5669万人民币,48984.6044万人民币,1998-12-28,2022-06-30,1998-12-28  至 无固定期限,山东省,青岛市,-,91370200163621493Q,91370200163621493Q,370200018056785,16362149-3,2378,股份有限公司(上市、国有控股),电气机械和器材制造业,"青岛澳柯玛股份有限公司	",青岛市经济技术开发区前湾港路315号,青岛市西海岸新区太行山路2号澳柯玛创新中心,http://www.aucma.com.cn,0532-86765167,0532-86765167;0532-86761880;0532-86763921;18661701108,qgb@aucma.com.cn,zoujianli@aucma.com.cn
福建七匹狼实业股份有限公司,存续,周少雄,75567万人民币,75567万人民币,2001-07-23,2022-05-07,2001-07-23 至 2051-07-23,福建省,泉州市,晋江市,91350000611520128M,91350000611520128M,350000100000338,61152012-8,591,股份有限公司(上市、国有控股),纺织服装、服饰业,-,福建晋江市金井镇南工业区,福建晋江市金井镇南工业园,http://www.septwolves.com,0595-85397777,0595-85397777;055-85397777;13599517995;5377785,yanxd@septwolves.com,75574200@qq.com
多氟多新材料股份有限公司,存续,李云峰,76608.7589万人民币,4463.1万人民币,1999-12-21,2021-09-18,1999-12-21 至 2049-12-20,河南省,焦作市,中站区,91410800719115730E,91410800719115730E,410000100017198,71911573-0,2054,股份有限公司(上市、自然人投资或控股),化学原料和化学制品制造业,"多氟多化工股份有限公司	",焦作市中站区焦克路,焦作市中站区焦克路,http://www.dfdchem.com,0391-2802615,0391-2802615;0391-2956992;0391-2956956;0391-2802245;0391-2800066;13939189311,dfd@dfdchem.com,dfdzqb@126.com
中策橡胶集团股份有限公司,存续,沈金荣,78703.7038万人民币,78703.7038万人民币,1992-06-12,2021-10-15,1992-06-12 至 9999-09-09,浙江省,杭州市,-,9133010060912074XW,9133010060912074XW,330100400029708,60912074-X,7975,其他股份有限公司(非上市),橡胶和塑料制品业,"杭州中策橡胶（股份）有限公司	;	杭州中策橡胶有限公司	;	中策橡胶集团有限公司	",浙江省杭州市钱塘区1号大街1号,浙江省杭州市钱塘区1号大街1号,http://www.zcrubber.com/,0571-86755886,0571-86755886;0571-86755858,zczjb8531@chaoyang.com,-
科大智能科技股份有限公司,存续,黄明松,78024.2234万人民币,10800万人民币,2002-11-27,2021-11-17,2002-11-27  至 无固定期限,上海市,上海市,浦东新区,9131000074494301X3,9131000074494301X3,310115000722215,74494301-X,103,其他股份有限公司(上市),计算机、通信和其他电子设备制造业,"上海中科大鲁能集成科技有限公司	;	上海科大鲁能集成科技有限公司	;	上海科大智能科技股份有限公司	",中国（上海）自由贸易试验区碧波路456号A203室,中国(上海)自由贸易试验区碧波路456号A203室,www.csg.com.cn,021-50809880,021-50809880;021-50804882,kdzn@csg.com.cn,hjw@csg.com.cn;shhr@csg.com.cn
四川天味食品集团股份有限公司,存续,邓文,76125.609万人民币,11625万人民币,2007-03-02,2022-06-14,2007-03-02  至 无固定期限,四川省,成都市,双流区,915101007978308873,915101007978308873,510122000037573,79783088-7,1330,股份有限公司(上市、自然人投资或控股),食品制造业,"四川天味食品股份有限公司	",成都市双流区西航港街道腾飞一路333号,成都市双流区西航港街道腾飞一路333号,http://www.teway.cn/,028-82808188,028-82808188;13709015300,-,-
贵人鸟股份有限公司,存续,李志华,157150.5358万人民币,62860.2143万人民币,2004-07-13,2022-09-09,2004-07-13  至 无固定期限,福建省,泉州市,晋江市,913500007640583922,913500007640583922,350500400022497,76405839-2,274,股份有限公司(台港澳与境内合资、上市),纺织服装、服饰业,"贵人鸟（中国）有限公司	",晋江市陈埭沟西工业区,福建省泉州市晋江市沟西村贵人鸟股份有限公司老厂,http://www.grn.cn/,0595-85198888,0595-85198888;0595-8519999;0595-85199999;0595-82011111;0592-5725650;18559269828,ir@k-bird.com,-
普联技术有限公司,存续,赵佳兴,65000万人民币,65000万人民币,2000-05-11,2022-07-20,2000-05-11  至 无固定期限,广东省,深圳市,南山区,91440300715297653W,91440300715297653W,440301102827833,71529765-3,2452,有限责任公司,计算机、通信和其他电子设备制造业,"深圳市普联通电子有限公司	;	深圳市普联技术有限公司	",深圳市南山区深南路科技园工业厂房24栋南段1层、3-5层、28栋北段1-4层,深圳市南山区深南路科技园工业厂房24栋南段1层、3-5层、28栋北段1-4层,http://www.tp-link.com,0755-26508574,0755-26508574,zhuangxiaofang@tp-link.com.cn,heidi886@tp-link.com.cn;heidihl@21cn.com;13501559246@139.com
上海良信电器股份有限公司,存续,任思龙,112312.502万人民币,8614万人民币,1999-01-07,2022-09-27,1999-01-07 至 2029-01-06,上海市,上海市,浦东新区,91310000631324319E,91310000631324319E,310000000067979,63132431-9,2320,股份有限公司(上市、自然人投资或控股),电气机械和器材制造业,"上海良信电器有限公司	",上海市浦东新区申江南路2000号,上海市浦东新区申江南路2000号,http://www.sh-liangxin.com/,021-68586699,021-68586699;021-68586659;021-68588201;021-68586632;13336138286;50412789;88017120,liangxin@sh-liangxin.com,laingxin@sh-liangxin.com;fangyan@sh-liangxin.com;chengqiugao@sh-liangxin.com
科顺防水科技股份有限公司,开业,陈伟忠,118087.8627万人民币,17958.5526万人民币,1996-10-10,2022-08-26,1996-10-10  至 无固定期限,广东省,佛山市,顺德区,91440606231959841B,91440606231959841B,440681000003137,23195984-1,485,股份有限公司(上市、自然人投资或控股),非金属矿物制品业,"顺德市容桂镇科顺精细化工有限公司	;	佛山市顺德区科顺化工实业有限公司	;	顺德市桂洲镇科顺精细化工有限公司	;	顺德市科顺化工实业有限公司	;	广东科顺化工实业有限公司	",佛山市顺德区容桂红旗中路工业区38号之一,佛山市顺德区容桂红旗中路工业区38号之一,http://www.keshun.com.cn,0757-28603333,0757-28603333;0757-28637667;13928264071;400-130-0737;0757-28603333-6390;0757-28637288;13502386273;13929104650;18316183211;15279201585;13652270661;13790096511,511965752@qq.com,info@keshun.com.cn;huang459811804@126.com
深圳市赢合科技股份有限公司,存续,许小菊,64953.7963万人民币,64953.7963万人民币,2006-06-26,2022-01-28,2006-06-26 至 5000-01-01,广东省,深圳市,光明区,91440300790475026R,91440300790475026R,440306102837566,79047502-6,133,股份有限公司(上市),金属制品业,"深圳市赢合科技有限公司	",深圳市光明区玉塘街道田寮社区宝山路19号晔明模具工业园B栋202,深圳市光明区玉塘街道田寮社区宝山路19号晔明模具工业园B栋202,www.yhwins.com,0755-86130555,0755-86130555;0755-28032999;0755-21637660,yh@yhwins.com,yinghekeji@yhwins.com
华润怡宝饮料（中国）有限公司,存续,张伟通,65000万人民币,65000万人民币,1996-08-01,2020-01-10,1996-08-01 至 2046-08-01,广东省,深圳市,南山区,91440300192441045W,91440300192441045W,440301503242900,19244104-5,361,有限责任公司(台港澳法人独资),酒、饮料和精制茶制造业,"蛇口龙环饮料有限公司	;	华润怡宝食品饮料（深圳）有限公司	;	深圳怡宝食品饮料有限公司	;	怡宝食品饮料（深圳）有限公司	",深圳市南山区第五工业区朗山路怡宝食品饮料园,深圳市南山区第五工业区朗山路怡宝食品饮料园,http://www.crbeverage.com,0755-26983333,0755-26983333;0755-86026290;0755-26980641,yboffice@crbeverage.com,443121042@qq.com;lixiaolan2@crbeverage.com
山东京博石油化工有限公司,开业,栾波,68000万人民币,68000万人民币,2000-12-19,2022-04-27,2000-12-19  至 无固定期限,山东省,滨州市,博兴县,913716251671540959,913716251671540959,371625018011320,16715409-5,2033,其他有限责任公司,石油、煤炭及其他燃料加工业,"山东京博石化有限公司	",博兴县经济开发区,博兴县经济开发区,http://www.jbshihua.com,0543-2313130,0543-2313130;0543-2325401;0543-2511719;18954366581;0543-2874984,jingbogs@jingbo.net,jingboshihuacw@jbshihua.com;2511719@163.com
大禹节水集团股份有限公司,存续,王浩宇,80106.6131万人民币,36706.7649万人民币,2005-01-19,2021-12-14,2005-01-19 至 2055-01-18,甘肃省,酒泉市,肃州区,91620000712767189Y,91620000712767189Y,620000000002220,712767189,50,股份有限公司,橡胶和塑料制品业,"甘肃大禹节水股份有限公司	;	甘肃大禹节水集团股份有限公司	",甘肃省酒泉市肃州区解放路290号,甘肃省酒泉市解放路290号,http://www.dyjs.com,0937-2688658,0937-2688658;0937-1688658;0937-2689028;13323329553,dyjszqb@dyjs.com,dyjs@dyjs.com
贝特瑞新材料集团股份有限公司,存续,贺雪琴,72807.9225万人民币,5000.00001万人民币,2000-08-07,2022-07-07,2000-08-07 至 5000-01-01,广东省,深圳市,宝安区,914403007230429091,914403007230429091,440301103394332,723042909,917,其他股份有限公司(上市),化学原料和化学制品制造业,"深圳市贝特瑞电子材料有限公司	;	深圳市贝特瑞电池材料有限公司	;	深圳市贝特瑞新能源材料股份有限公司	",深圳市光明新区公明办事处西田社区高新技术工业园第1、2、3、4、5、6栋、7栋A、7栋B、8栋,深圳市光明新区公明办事处西田社区高新技术工业园第1、2、3、4、5、6栋、7栋A、7栋B、8栋,http://www.btrchina.com,0755-26514655,0755-26514655;0755-2651465;13266649666,zhongweiwei@btrchina.com,mayuhua@btrchina.com;liuchao@btrchina.com;btr-sz@btrchina.com
安徽鸿路钢结构（集团）股份有限公司,存续,王军民,52371.8853万人民币,-,2002-09-19,2018-07-06,2002-09-19  至 无固定期限,安徽省,合肥市,长丰县,91340100743065219J,91340100743065219J,340121000003533,74306521-9,1672,股份有限公司(上市、自然人投资或控股),金属制品业,"安徽鸿路钢结构（集团）有限公司	",安徽省合肥市双凤工业区,安徽省合肥市双凤工业区,http://www.hong-lu.com,0551-67128446,0551-67128446;0551-66391755;13865917255;18832671949;0551-6370703;0551-66391721;0551-66398575;13956017841;18055252588;13920699407;15256060188;15357912969;15856935824;18055193282;18356099904;18755122139;18240666998,wgs@hong-lu.cn,-
